MP name	Nature of membership	State	Constituency	Political party	Gender	Educational qualifications	Age	Debates	Questions	Attendance	State's Debates average	State's Private Member Bills  average	State's Questions average	State's Attendance average
K. Jayaprakash Hegde	Elected	Karnataka	Udupi Chikmagalur	Indian National Congress	Male	Graduate	52	4	12	97%	3.5	0	49	70%
K. Jayasurya Prakash Reddy	Elected	Andhra Pradesh	Kurnool	Indian National Congress	Male	Graduate	60	0	496	55%	15.2	0.4	257	70%
K. Murugesan Anandan	Elected	Tamil Nadu	Viluppuram	All India Anna Dravida Munnetra Kazhagam	Male	Under Graduate	60	16	147	88%	34.2	0.2	261	73%
K. P. Dhanapalan	Elected	Kerala	Chalakudy	Indian National Congress	Male	Graduate	62	47	312	100%	50.6	1.1	299	84%
K. Sugumar	Elected	Tamil Nadu	Pollachi	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	51	33	398	83%	34.2	0.2	261	73%
K.C. Singh Baba	Elected	Uttarakhand	Nainital-Udhamsingh Nagar	Indian National Congress	Male	Inter/ Higher Secondary	65	15	208	65%	38.5	4.6	78	82%
K.H. Muniyappa	Elected	Karnataka	Kolar	Indian National Congress	Male	Graduate	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K.V. Thomas	Elected	Kerala	Ernakulam	Indian National Congress	Male	Post Graduate	66	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kabindra Purkayastha	Elected	Assam	Silchar	Bharatiya Janata Party	Male	Post Graduate	80	25	110	89%	16.2	0.5	59	81%
Kabir Suman	Elected	West Bengal	Jadavpur	All India Trinamool Congress	Male	Graduate	62	3	0	34%	34.8	0.8	135	72%
Kadir Rana	Elected	Uttar Pradesh	Muzaffarnagar	Bahujan Samaj Party	Male	Under Matric	50	0	77	53%	33.3	0.4	178	80%
Kailash Joshi	Elected	Madhya Pradesh	Bhopal	Bharatiya Janata Party	Male	Matric	83	4	73	84%	34.5	0.1	174	83%
Kaisar Jahan	Elected	Uttar Pradesh	Sitapur	Bahujan Samaj Party	Female	Under Matric	38	5	26	58%	33.3	0.4	178	80%
Kakoli Ghosh Dastidar	Elected	West Bengal	Barasat	All India Trinamool Congress	Female	Post Graduate	52	22	8	68%	34.8	0.8	135	72%
Kalikesh Narayan Singh Deo	Elected	Orissa	Bolangir	Biju Janata Dal	Male	Graduate	38	15	245	69%	27.4	0.6	279	76%
Kalyan Banerjee	Elected	West Bengal	Serampore	All India Trinamool Congress	Male	Graduate	55	30	0	73%	34.8	0.8	135	72%
Kalyan Singh	Elected	Uttar Pradesh	Etah	Independent	Male	Graduate	80	1	0	45%	33.3	0.4	178	80%
Kamal Kishor	Elected	Uttar Pradesh	Bahraich	Indian National Congress	Male	Graduate	56	84	229	96%	33.3	0.4	178	80%
Kamal Nath	Elected	Madhya Pradesh	Chhindwara	Indian National Congress	Male	Graduate	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kameshwar Baitha	Elected	Jharkhand	Palamu	Jharkhand Mukti Morcha	Male	Matric	56	25	179	34%	25.9	0.8	185	65%
Kamla Devi Patle	Elected	Chhattisgarh	Janjgir-Champa	Bharatiya Janata Party	Female	Under Graduate	46	12	195	74%	9.6	0.3	120	64%
Kamlesh Balmiki	Elected	Uttar Pradesh	Bulandshahr	Samajwadi Party	Male	Under Matric	59	1	4	85%	33.3	0.4	178	80%
Kamlesh Paswan	Elected	Uttar Pradesh	Bansgaon	Bharatiya Janata Party	Male	Inter/ Higher Secondary	36	13	79	85%	33.3	0.4	178	80%
Kantilal Bhuria	Elected	Madhya Pradesh	Ratlam	Indian National Congress	Male	Post Graduate	62	0	0	53%	17.8	0.1	88	83%
Kapil Muni Karwariya	Elected	Uttar Pradesh	Phulpur	Bahujan Samaj Party	Male	Graduate	45	16	172	81%	33.3	0.4	178	80%
Kapil Sibal	Elected	Delhi	Chandni Chowk	Indian National Congress	Male	Post Graduate	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kariya Munda	Elected	Jharkhand	Khunti	Bharatiya Janata Party	Male	Post Graduate	76	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Katti Ramesh Vishwanath	Elected	Karnataka	Chikkodi	Bharatiya Janata Party	Male	Under Graduate	47	9	84	72%	14.4	0.2	243	70%
Kaushalendra Kumar	Elected	Bihar	Nalanda	Janata Dal (United)	Male	Inter/ Higher Secondary	54	87	374	97%	34.8	0.5	235	87%
Kavuri Samba Siva Rao	Elected	Andhra Pradesh	Eluru	Indian National Congress	Male	Graduate	68	29	151	82%	15.2	0.4	257	70%
Khagen Das	Elected	Tripura	Tripura West	Communist Party of India (Marxist)	Male	Post Graduate	75	30	199	74%	18	0.5	100	79%
Khatgaonkar Patil Bhaskarrao Bapurao	Elected	Maharashtra	Nanded	Indian National Congress	Male	Graduate	68	4	603	75%	21	1.2	354	74%
Khiladi Lal Bairwa	Elected	Rajasthan	Karauli-Dholpur	Indian National Congress	Male	Graduate	48	19	117	93%	37.1	0.8	207	88%
Killi Krupa Rani	Elected	Andhra Pradesh	Srikakulam	Indian National Congress	Female	Graduate	46	18	337	89%	15.2	0.4	257	70%
Kirit Premjibhai Solanki	Elected	Gujarat	Ahmedabad West	Bharatiya Janata Party	Male	Post Graduate	62	122	356	93%	30.1	1	276	80%
Kirodilal Meena	Elected	Rajasthan	Dausa	Independent	Male	Graduate	60	34	444	93%	37.1	0.8	207	88%
Kirti (Jha) Azad	Elected	Bihar	Darbhanga	Bharatiya Janata Party	Male	Graduate	53	24	185	93%	34.8	0.5	235	87%
Kishanbhai Vestabhai Patel	Elected	Gujarat	Valsad	Indian National Congress	Male	Inter/ Higher Secondary	48	8	527	86%	30.1	1	276	80%
Komatireddy Raj Gopal Reddy	Elected	Andhra Pradesh	Bhongir	Indian National Congress	Male	Graduate	45	0	158	62%	15.2	0.4	257	70%
Konakalla Narayana Rao	Elected	Andhra Pradesh	Machilipatnam	Telugu Desam Party	Male	Inter/ Higher Secondary	62	3	11	76%	15.2	0.4	257	70%
Krishna Tirath	Elected	Delhi	North West Delhi	Indian National Congress	Female	Post Graduate	57	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Kristappa Nimmala	Elected	Andhra Pradesh	Hindupur	Telugu Desam Party	Male	Graduate	55	7	23	82%	15.2	0.4	257	70%
Kuldeep Bishnoi	Elected	Haryana	Hisar	Haryana Janhit Congress	Male	Graduate	43	3	50	54%	3.9	0.1	70	69%
Kumbakudi Sudhakaran	Elected	Kerala	Kannur	Indian National Congress	Male	Post Graduate	64	9	234	64%	50.6	1.1	299	84%
Kunwarjibhai Mohanbhai Bavaliya	Elected	Gujarat	Rajkot	Indian National Congress	Male	Graduate	57	5	274	69%	30.1	1	276	80%
Lakshmi Panabaka	Elected	Andhra Pradesh	Bapatla	Indian National Congress	Female	Post Graduate	53	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lal Chand Kataria	Elected	Rajasthan	Jaipur Rural	Indian National Congress	Male	Inter/ Higher Secondary	44	6	237	92%	37.1	0.8	207	88%
Lal Ji Tandon	Elected	Uttar Pradesh	Lucknow	Bharatiya Janata Party	Male	Graduate	77	9	70	76%	33.3	0.4	178	80%
Lal Krishna Advani	Elected	Gujarat	Gandhinagar	Bharatiya Janata Party	Male	Graduate	84	32	0	98%	30.1	1	276	80%
Lalit Mohan Suklabaidya	Elected	Assam	Karimganj	Indian National Congress	Male	Post Graduate	69	18	19	95%	16.2	0.5	59	81%
Lalu Prasad	Elected	Bihar	Saran	Rashtriya Janata Dal	Male	Graduate	64	76	0	76%	34.8	0.5	235	87%
Lalubhai Babubhai Patel	Elected	Daman and Diu	Daman and Diu	Bharatiya Janata Party	Male	Matric	57	5	63	63%	5	0	63	63%
Laxman Tudu	Elected	Orissa	Mayurbhanj	Biju Janata Dal	Male	Graduate	47	21	162	56%	27.4	0.6	279	76%
M. Anjan Kumar Yadav	Elected	Andhra Pradesh	Secunderabad	Indian National Congress	Male	Graduate	51	0	497	69%	15.2	0.4	257	70%
M. B. Rajesh	Elected	Kerala	Palakkad	Communist Party of India (Marxist)	Male	Post Graduate	41	91	378	94%	50.6	1.1	299	84%
M. I. Shanavas	Elected	Kerala	Wayanad	Indian National Congress	Male	Post Graduate	60	27	232	80%	50.6	1.1	299	84%
M. Jagannath	Elected	Andhra Pradesh	Nagarkurnool	Indian National Congress	Male	Post Graduate	61	33	211	76%	15.2	0.4	257	70%
M. K. Alagiri	Elected	Tamil Nadu	Madurai	Dravida Munnetra Kazhagam	Male	Graduate	61	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M. K. Raghavan	Elected	Kerala	Kozhikode	Indian National Congress	Male	Graduate	60	28	339	76%	50.6	1.1	299	84%
M. Krishnaswamy	Elected	Tamil Nadu	Arani	Indian National Congress	Male	Graduate	72	8	46	89%	34.2	0.2	261	73%
M. Veerappa Moily	Elected	Karnataka	Chikkballapur	Indian National Congress	Male	Graduate	72	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M. Vijaya Shanthi	Elected	Andhra Pradesh	Medak	Telangana Rashtra Samithi	Female	Matric	46	0	0	13%	15.2	0.4	257	70%
Madan Lal Sharma	Elected	Jammu and Kashmir	Jammu	Indian National Congress	Male	Inter/ Higher Secondary	60	17	79	91%	35.4	0	84	89%
Madhu Goud Yaskhi	Elected	Andhra Pradesh	Nizamabad	Indian National Congress	Male	Post Graduate	51	11	410	74%	15.2	0.4	257	70%
Madhu Kora	Elected	Jharkhand	Singhbhum	Independent	Male	Graduate	41	10	51	28%	25.9	0.8	185	65%
Madhusudan Yadav	Elected	Chhattisgarh	Rajnandgaon	Bharatiya Janata Party	Male	Inter/ Higher Secondary	42	10	83	38%	9.6	0.3	120	64%
Magunta Srinivasulu Reddy	Elected	Andhra Pradesh	Ongole	Indian National Congress	Male	Graduate	58	3	631	59%	15.2	0.4	257	70%
Mahabal Mishra	Elected	Delhi	West Delhi	Indian National Congress	Male	Inter/ Higher Secondary	59	28	247	94%	27.5	4.3	226	96%
Mahabali Singh	Elected	Bihar	Karakat	Janata Dal (United)	Male	Under Matric	57	16	37	90%	34.8	0.5	235	87%
Mahadeo Singh Khandela	Elected	Rajasthan	Sikar	Indian National Congress	Male	Post Graduate	68	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mahendra Kumar Roy	Elected	West Bengal	Jalpaiguri	Communist Party of India (Marxist)	Male	Graduate	56	31	133	92%	34.8	0.8	135	72%
Mahendrasinh Pruthvisinh Chauhan	Elected	Gujarat	Sabarkantha	Bharatiya Janata Party	Male	Graduate	58	121	532	99%	30.1	1	276	80%
Mahesh Joshi	Elected	Rajasthan	Jaipur	Indian National Congress	Male	Doctorate	57	10	287	95%	37.1	0.8	207	88%
Maheshwar Hazari	Elected	Bihar	Samastipur	Janata Dal (United)	Male	Graduate	49	30	321	93%	34.8	0.5	235	87%
Makhansingh Solanki	Elected	Madhya Pradesh	Khargone	Bharatiya Janata Party	Male	Under Matric	60	8	90	83%	34.5	0.1	174	83%
Mallikarjun Kharge	Elected	Karnataka	Gulbarga	Indian National Congress	Male	Graduate	70	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mallipudi Raju Pallam Mangapati	Elected	Andhra Pradesh	Kakinada	Indian National Congress	Male	Post Graduate	50	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mamata Banerjee	Elected	West Bengal	Kolkata Dakshin	All India Trinamool Congress	Female	Post Graduate	57	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Maneka Gandhi	Elected	Uttar Pradesh	Aonla	Bharatiya Janata Party	Female	Inter/ Higher Secondary	56	6	212	73%	33.3	0.4	178	80%
Mangani Lal Mandal	Elected	Bihar	Jhanjharpur	Janata Dal (United)	Male	Post Graduate	64	42	223	96%	34.8	0.5	235	87%
Manicka Tagore	Elected	Tamil Nadu	Virudhunagar	Indian National Congress	Male	Graduate	37	23	280	91%	34.2	0.2	261	73%
Manikrao Hodlya Gavit	Elected	Maharashtra	Nandurbar	Indian National Congress	Male	Matric	77	8	148	89%	21	1.2	354	74%
Manish Tewari	Elected	Punjab	Ludhiana	Indian National Congress	Male	Graduate	46	37	309	89%	19	0.6	127	78%
Manohar Tirkey	Elected	West Bengal	Alipurduars	Revolutionary Socialist Party	Male	Inter/ Higher Secondary	58	24	445	60%	34.8	0.8	135	72%
Mansukhbhai D. Vasava	Elected	Gujarat	Bharuch	Bharatiya Janata Party	Male	Post Graduate	55	35	583	82%	30.1	1	276	80%
Marotrao Sainuji Kowase	Elected	Maharashtra	Gadchiroli-Chimur	Indian National Congress	Male	Post Graduate	62	14	323	85%	21	1.2	354	74%
Mausam Noor	Elected	West Bengal	Maldaha Uttar	Indian National Congress	Female	Graduate	32	3	3	73%	34.8	0.8	135	72%
Meena Singh	Elected	Bihar	Arrah	Janata Dal (United)	Female	Graduate	50	21	326	88%	34.8	0.5	235	87%
Meenakshi Natrajan	Elected	Madhya Pradesh	Mandsour	Indian National Congress	Female	Post Graduate	39	14	132	87%	34.5	0.1	174	83%
Meira Kumar	Elected	Bihar	Sasaram	Indian National Congress	Female	Post Graduate	67	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mekapati Rajamohan Reddy	Elected	Andhra Pradesh	Nellore	Yuvajana Sramika Rythu Congress Party	Male	Graduate	68	4	207	59%	12.4	0.4	226	70%
Milind Murli Deora	Elected	Maharashtra	Mumbai-South	Indian National Congress	Male	Graduate	35	0	274	88%	12.1	0.8	201	74%
Mirza Mehboob Beg	Elected	Jammu and Kashmir	Anantnag	Jammu and Kashmir National Conference	Male	Graduate	63	43	17	84%	35.4	0	84	89%
Mithlesh Kumar	Elected	Uttar Pradesh	Shahjahanpur	Samajwadi Party	Male	Graduate	47	18	128	88%	33.3	0.4	178	80%
Modugula Venugopala Reddy	Elected	Andhra Pradesh	Narasaraopet	Telugu Desam Party	Male	Graduate	46	20	262	64%	15.2	0.4	257	70%
Mohammed Azharuddin	Elected	Uttar Pradesh	Moradabad	Indian National Congress	Male	Graduate	49	2	5	76%	33.3	0.4	178	80%
Mohan Jena	Elected	Orissa	Jajpur	Biju Janata Dal	Male	Post Graduate	55	21	42	74%	27.4	0.6	279	76%
Mohinder Singh Kaypee	Elected	Punjab	Jalandhar	Indian National Congress	Male	Graduate	55	8	4	89%	19	0.6	127	78%
Monazir Hassan	Elected	Bihar	Begusarai	Janata Dal (United)	Male	Doctorate	55	8	23	85%	34.8	0.5	235	87%
Mukul Balkrishna Wasnik	Elected	Maharashtra	Ramtek	Indian National Congress	Male	Post Graduate	52	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mulayam Singh Yadav	Elected	Uttar Pradesh	Mainpuri	Samajwadi Party	Male	Post Graduate	72	94	0	85%	33.3	0.4	178	80%
Munde Gopinathrao Pandurang	Elected	Maharashtra	Beed	Bharatiya Janata Party	Male	Graduate	62	27	286	71%	21	1.2	354	74%
Munisamy Thambidurai	Elected	Tamil Nadu	Karur	All India Anna Dravida Munnetra Kazhagam	Male	Doctorate	65	68	265	82%	34.2	0.2	261	73%
Murarilal Singh	Elected	Chhattisgarh	Surguja	Bharatiya Janata Party	Male	Inter/ Higher Secondary	60	3	62	69%	9.6	0.3	120	64%
Murli Manohar Joshi	Elected	Uttar Pradesh	Varanasi	Bharatiya Janata Party	Male	Doctorate	78	26	443	86%	33.3	0.4	178	80%
N Cheluvaraya Swamy @ Swamygowda	Elected	Karnataka	Mandya	Janata Dal (Secular)	Male	Diploma Course	52	17	696	62%	14.4	0.2	243	70%
N. Peethambara Kurup	Elected	Kerala	Kollam	Indian National Congress	Male	Graduate	70	16	120	85%	50.6	1.1	299	84%
N.Dharam Singh	Elected	Karnataka	Bidar	Indian National Congress	Male	Post Graduate	75	2	4	70%	14.4	0.2	243	70%
N.S.V. Chitthan	Elected	Tamil Nadu	Dindigul	Indian National Congress	Male	Graduate	78	43	312	92%	34.2	0.2	261	73%
Nalin Kumar Kateel	Elected	Karnataka	Dakshina Kannada	Bharatiya Janata Party	Male	Matric	45	6	128	71%	14.4	0.2	243	70%
Nama Nageswara Rao	Elected	Andhra Pradesh	Khammam	Telugu Desam Party	Male	Inter/ Higher Secondary	55	79	326	83%	15.2	0.4	257	70%
Namo Narain Meena	Elected	Rajasthan	Tonk-Sawai Madhopur	Indian National Congress	Male	Post Graduate	68	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Narahari Mahato	Elected	West Bengal	Purulia	All India Forward Bloc	Male	Post Graduate	56	49	487	71%	34.8	0.8	135	72%
Naramalli Sivaprasad	Elected	Andhra Pradesh	Chittoor	Telugu Desam Party	Male	Graduate	61	5	12	57%	15.2	0.4	257	70%
Naranbhai Kachhadia	Elected	Gujarat	Amreli	Bharatiya Janata Party	Male	Under Matric	57	66	535	94%	30.1	1	276	80%
Narayan Singh Amlabe	Elected	Madhya Pradesh	Rajgarh	Indian National Congress	Male	Inter/ Higher Secondary	61	49	114	95%	34.5	0.1	174	83%
Narendra Singh Tomar	Elected	Madhya Pradesh	Morena	Bharatiya Janata Party	Male	Graduate	55	8	170	71%	34.5	0.1	174	83%
Natubhai Gomanbhai Patel	Elected	Dadra and Nagar Haveli	Dadra and Nagar Haveli	Bharatiya Janata Party	Male	Under Matric	40	2	33	50%	2	0	33	50%
Naveen Jindal	Elected	Haryana	Kurukshetra	Indian National Congress	Male	Post Graduate	42	14	362	82%	8.7	0.1	149	69%
Navjot Singh Sidhu	Elected	Punjab	Amritsar	Bharatiya Janata Party	Male	Graduate	48	3	99	28%	19	0.6	127	78%
Neeraj Shekhar	Elected	Uttar Pradesh	Ballia	Samajwadi Party	Male	Graduate	43	26	554	93%	33.3	0.4	178	80%
Nikhil Kumar Choudhary	Elected	Bihar	Katihar	Bharatiya Janata Party	Male	Graduate	66	20	68	85%	34.8	0.5	235	87%
Nilesh Narayan Rane	Elected	Maharashtra	Ratnagiri-Sindhudurg	Indian National Congress	Male	Doctorate	31	8	390	74%	21	1.2	354	74%
Ninong Ering	Elected	Arunachal Pradesh	Arunachal East	Indian National Congress	Male	Graduate	53	19	25	89%	12	0	40	78%
Nirmal Khatri	Elected	Uttar Pradesh	Faizabad	Indian National Congress	Male	Doctorate	61	34	24	98%	33.3	0.4	178	80%
Nishikant Dubey	Elected	Jharkhand	Godda	Bharatiya Janata Party	Male	Post Graduate	43	62	577	94%	25.9	0.8	185	65%
Nityananda Pradhan	Elected	Orissa	Aska	Biju Janata Dal	Male	Post Graduate	67	6	522	71%	27.4	0.6	279	76%
Nripendra Nath Roy	Elected	West Bengal	Cooch Behar	All India Forward Bloc	Male	Graduate	53	37	482	71%	34.8	0.8	135	72%
O. S. Manian	Elected	Tamil Nadu	Mayiladuthurai	All India Anna Dravida Munnetra Kazhagam	Male	Inter/ Higher Secondary	58	34	20	60%	34.2	0.2	261	73%
Om Prakash Yadav	Elected	Bihar	Siwan	Independent	Male	Graduate	50	25	284	71%	34.8	0.5	235	87%
P. Balram	Elected	Andhra Pradesh	Mahabubabad	Indian National Congress	Male	Graduate	48	10	426	68%	15.2	0.4	257	70%
P. C. Mohan	Elected	Karnataka	Bangalore Central	Bharatiya Janata Party	Male	Inter/ Higher Secondary	49	3	171	73%	14.4	0.2	243	70%
P. Jaya Prada Nahata	Elected	Uttar Pradesh	Rampur	Independent	Female	Graduate	50	19	366	31%	33.3	0.4	178	80%
P. K. Biju	Elected	Kerala	Alathur	Communist Party of India (Marxist)	Male	Post Graduate	38	66	317	87%	50.6	1.1	299	84%
P. Karunakaran	Elected	Kerala	Kasaragod	Communist Party of India (Marxist)	Male	Post Graduate	67	71	373	73%	50.6	1.1	299	84%
P. Kumar	Elected	Tamil Nadu	Tiruchirappalli	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	41	49	364	85%	34.2	0.2	261	73%
P. Lingam	Elected	Tamil Nadu	Tenkasi	Communist Party of India	Male	Graduate	46	57	260	95%	34.2	0.2	261	73%
P. T. Thomas	Elected	Kerala	Idukki	Indian National Congress	Male	Post Graduate	61	109	338	100%	50.6	1.1	299	84%
P. Venugopal	Elected	Tamil Nadu	Tiruvallur	All India Anna Dravida Munnetra Kazhagam	Male	Graduate	60	25	219	87%	34.2	0.2	261	73%
P. Viswanathan	Elected	Tamil Nadu	Kancheepuram	Indian National Congress	Male	Graduate	48	24	460	85%	34.2	0.2	261	73%
P.C. Chacko	Elected	Kerala	Thrissur	Indian National Congress	Male	Post Graduate	65	19	22	90%	50.6	1.1	299	84%
P.C. Gaddigoudar	Elected	Karnataka	Bagalkot	Bharatiya Janata Party	Male	Graduate	61	7	254	78%	14.4	0.2	243	70%
P.L. Punia	Elected	Uttar Pradesh	Barabanki	Indian National Congress	Male	Doctorate	67	196	436	98%	33.3	0.4	178	80%
P.R. Natarajan	Elected	Tamil Nadu	Coimbatore	Communist Party of India (Marxist)	Male	Under Graduate	61	24	251	87%	34.2	0.2	261	73%
Paban Singh Ghatowar	Elected	Assam	Dibrugarh	Indian National Congress	Male	Graduate	61	9	18	91%	8.2	0.2	31	81%
Padamsinha Bajirao Patil	Elected	Maharashtra	Osmanabad	Nationalist Congress Party	Male	Graduate	72	2	141	55%	21	1.2	354	74%
Pakauri Lal	Elected	Uttar Pradesh	Robertsganj	Samajwadi Party	Male	Under Matric	60	18	61	85%	33.3	0.4	178	80%
Palaniappan Chidambaram	Elected	Tamil Nadu	Sivaganga	Indian National Congress	Male	Post Graduate	66	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Paramjit Kaur Gulshan	Elected	Punjab	Faridkot	Shiromani Akali Dal	Female	Post Graduate	63	21	74	80%	19	0.6	127	78%
Partap Singh Bajwa	Elected	Punjab	Gurdaspur	Indian National Congress	Male	Graduate	55	35	274	84%	19	0.6	127	78%
Pashupati Nath Singh	Elected	Jharkhand	Dhanbad	Bharatiya Janata Party	Male	Graduate	63	19	190	90%	25.9	0.8	185	65%
Pawan Kumar Bansal	Elected	Chandigarh	Chandigarh	Indian National Congress	Male	Graduate	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pinaki Misra	Elected	Orissa	Puri	Biju Janata Dal	Male	Graduate	52	15	19	76%	27.4	0.6	279	76%
Poonamben Veljibhai Jat	Elected	Gujarat	Kachchh	Bharatiya Janata Party	Female	Inter/ Higher Secondary	41	20	77	89%	30.1	1	276	80%
Prabha Kishore Taviad	Elected	Gujarat	Dahod	Indian National Congress	Female	Post Graduate	58	24	4	99%	30.1	1	276	80%
Prabhakar Ponnam	Elected	Andhra Pradesh	Karimnagar	Indian National Congress	Male	Post Graduate	45	34	676	85%	15.2	0.4	257	70%
Prabhatsinh Pratapsinh Chauhan	Elected	Gujarat	Panchmahal	Bharatiya Janata Party	Male	Inter/ Higher Secondary	71	1	140	86%	30.1	1	276	80%
Prabodh Panda	Elected	West Bengal	Medinipur	Communist Party of India	Male	Graduate	66	123	473	90%	34.8	0.8	135	72%
Pradeep Kumar Jain Aditya	Elected	Uttar Pradesh	Jhansi	Indian National Congress	Male	Post Graduate	49	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pradeep Kumar Majhi	Elected	Orissa	Nabarangpur	Indian National Congress	Male	Graduate	36	9	783	61%	27.4	0.6	279	76%
Pradeep Kumar Singh	Elected	Bihar	Araria	Bharatiya Janata Party	Male	Matric	47	6	87	71%	34.8	0.5	235	87%
Pradeep Tamta	Elected	Uttarakhand	Almora	Indian National Congress	Male	Post Graduate	54	11	2	96%	38.5	4.6	78	82%
Praful Manoharbhai Patel	Elected	Maharashtra	Bhandara-Gondiya	Nationalist Congress Party	Male	Graduate	55	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pralhad Venkatesh Joshi	Elected	Karnataka	Dharwad	Bharatiya Janata Party	Male	Graduate	49	51	472	78%	14.4	0.2	243	70%
Pranab Mukherjee	Elected	West Bengal	Jangipur	Indian National Congress	Male	Post Graduate	76	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prasanna Kumar Patasani	Elected	Orissa	Bhubaneswar	Biju Janata Dal	Male	Doctorate	66	48	132	83%	27.4	0.6	279	76%
Prasanta Kumar Majumdar	Elected	West Bengal	Balurghat	Revolutionary Socialist Party	Male	Post Graduate	71	120	468	77%	34.8	0.8	135	72%
Pratik Prakashbapu Patil	Elected	Maharashtra	Sangli	Indian National Congress	Male	Diploma Course	38	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Praveen Singh Aron	Elected	Uttar Pradesh	Bareilly	Indian National Congress	Male	Graduate	53	6	8	75%	33.3	0.4	178	80%
Prem Das Rai	Elected	Sikkim	Sikkim	Sikkim Democratic Front	Male	Graduate	58	54	106	90%	54	0	106	90%
Premchandra Guddu	Elected	Madhya Pradesh	Ujjain	Indian National Congress	Male	Inter/ Higher Secondary	52	16	187	78%	34.5	0.1	174	83%
Premdas Katheria	Elected	Uttar Pradesh	Etawah	Samajwadi Party	Male	Graduate	47	50	112	93%	33.3	0.4	178	80%
Preneet Kaur	Elected	Punjab	Patiala	Indian National Congress	Female	Graduate	67	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Priya Sunil Dutt	Elected	Maharashtra	Mumbai-North-Central	Indian National Congress	Female	Post Graduate	46	10	111	61%	21	1.2	354	74%
Pulin Bihari Baske	Elected	West Bengal	Jhargram	Communist Party of India (Marxist)	Male	Graduate	44	33	56	92%	34.8	0.8	135	72%
Purnmasi Ram	Elected	Bihar	Gopalganj	Janata Dal (United)	Male	Matric	62	18	468	85%	34.8	0.5	235	87%
Putul Kumari	Elected	Bihar	Banka	Independent	Female	Information not available	53	30	0	90%	19.9	0.2	134	87%
R. Thamaraiselvan	Elected	Tamil Nadu	Dharmapuri	Dravida Munnetra Kazhagam	Male	Graduate	49	82	483	81%	34.2	0.2	261	73%
R.K. Singh Patel	Elected	Uttar Pradesh	Banda	Samajwadi Party	Male	Graduate	53	36	191	85%	33.3	0.4	178	80%
Radha Mohan Singh	Elected	Bihar	Purvi Champaran	Bharatiya Janata Party	Male	Graduate	63	34	445	86%	34.8	0.5	235	87%
Radhe Mohan Singh	Elected	Uttar Pradesh	Ghazipur	Samajwadi Party	Male	Graduate	45	12	153	74%	33.3	0.4	178	80%
Raghavendra Yeddyurappa	Elected	Karnataka	Shimoga	Bharatiya Janata Party	Male	Graduate	39	1	63	58%	14.4	0.2	243	70%
Raghuvansh Prasad Singh	Elected	Bihar	Vaishali	Rashtriya Janata Dal	Male	Doctorate	66	146	399	99%	34.8	0.5	235	87%
Raghuvir Singh Meena	Elected	Rajasthan	Udaipur	Indian National Congress	Male	Graduate	53	9	107	84%	37.1	0.8	207	88%
Rahul Gandhi	Elected	Uttar Pradesh	Amethi	Indian National Congress	Male	Post Graduate	42	1	0	42%	33.3	0.4	178	80%
Raj Babbar	Elected	Uttar Pradesh	Firozabad	Indian National Congress	Male	Graduate	60	2	0	68%	29.1	0.4	167	80%
Raj Kumari Chauhan	Elected	Uttar Pradesh	Aligarh	Bahujan Samaj Party	Female	Inter/ Higher Secondary	42	0	15	84%	33.3	0.4	178	80%
Raja Ram Pal	Elected	Uttar Pradesh	Akbarpur	Indian National Congress	Male	Graduate	51	42	0	91%	33.3	0.4	178	80%
Rajagopal Lagadapati	Elected	Andhra Pradesh	Vijayawada	Indian National Congress	Male	Graduate	48	19	430	76%	15.2	0.4	257	70%
Rajaiah Siricilla	Elected	Andhra Pradesh	Warangal	Indian National Congress	Male	Graduate	59	27	569	78%	15.2	0.4	257	70%
Rajan Sushant	Elected	Himachal Pradesh	Kangra	Bharatiya Janata Party	Male	Doctorate	57	70	54	94%	70	0.3	273	89%
Rajen Gohain	Elected	Assam	Nawgong	Bharatiya Janata Party	Male	Graduate	61	8	74	60%	16.2	0.5	59	81%
